period,date,front1,front2,front3,front4,front5,back1,back2
25112,2025-09-29,03,04,21,23,24,09,12
25111,2025-09-27,02,09,14,21,26,02,12
25110,2025-09-24,01,15,22,30,31,02,08
25109,2025-09-22,04,08,10,13,26,09,10
25108,2025-09-20,14,18,21,24,29,03,06
25107,2025-09-17,05,07,08,15,33,06,10
25106,2025-09-15,05,06,11,26,29,05,10
25105,2025-09-13,15,16,25,28,34,10,12
25104,2025-09-10,02,06,09,22,34,02,08
25103,2025-09-08,05,08,19,32,34,04,05
25102,2025-09-06,09,10,13,26,28,02,04
25101,2025-09-03,05,07,19,26,32,08,09
25100,2025-09-01,26,28,32,34,35,02,07
25099,2025-08-30,06,12,20,26,31,02,04
25098,2025-08-27,01,07,09,10,23,10,12
25097,2025-08-25,05,24,25,32,34,01,09
25096,2025-08-23,02,11,17,22,24,07,09
25095,2025-08-20,07,13,14,19,27,06,10
25094,2025-08-18,04,09,17,30,33,05,09
25093,2025-08-16,01,07,09,16,30,02,05
25092,2025-08-13,04,10,17,25,32,05,07
25091,2025-08-11,1,19,22,25,27,3,10
25090,2025-08-09,6,14,19,22,27,1,4
25089,2025-08-06,2,11,12,32,34,3,10
25088,2025-08-04,8,9,10,11,35,5,11
25087,2025-08-02,5,13,14,16,20,3,8
25086,2025-07-30,2,6,23,24,33,1,10
25085,2025-07-28,2,5,9,14,33,4,9
25084,2025-07-26,9,11,13,18,29,4,11
25083,2025-07-23,12,17,18,20,34,2,5
25082,2025-07-21,2,3,4,12,26,1,8
25081,2025-07-19,1,4,6,15,18,2,3
25080,2025-07-16,9,10,18,22,24,3,12
25079,2025-07-14,2,14,32,34,35,5,11
25078,2025-07-12,7,10,15,21,24,5,6
25077,2025-07-09,12,14,16,19,28,1,4
25076,2025-07-07,11,18,22,25,29,4,12
25075,2025-07-05,8,12,16,19,35,6,9
25074,2025-07-02,2,11,15,18,21,5,10
25073,2025-06-30,1,4,17,33,34,3,9
25072,2025-06-28,4,7,15,24,29,1,4
25071,2025-06-25,1,8,25,31,33,5,11
25070,2025-06-23,8,9,15,20,22,4,12
25069,2025-06-21,4,6,7,33,34,9,10
25068,2025-06-18,1,4,17,20,22,4,10
25067,2025-06-16,6,10,12,21,22,1,6
25066,2025-06-14,15,18,27,28,34,3,6
25065,2025-06-11,7,25,32,33,35,4,9
25064,2025-06-09,5,10,18,20,34,1,8
25063,2025-06-07,5,18,26,29,32,7,10
25062,2025-06-04,14,20,27,28,29,6,10
25061,2025-06-02,2,11,16,23,28,5,10
25060,2025-05-31,12,14,19,33,34,1,7
25059,2025-05-28,3,9,10,11,26,1,2
25058,2025-05-26,6,11,15,21,23,1,7
25057,2025-05-24,9,10,11,12,29,1,10
25056,2025-05-21,12,15,28,29,32,8,11
25055,2025-05-19,8,10,25,29,30,1,2
25054,2025-05-17,3,12,16,21,29,1,2
25053,2025-05-14,14,23,29,30,33,6,12
25052,2025-05-12,2,4,11,29,30,2,8
25051,2025-05-10,2,4,13,29,31,5,12
25050,2025-05-07,15,18,20,21,34,4,10
25049,2025-05-05,9,20,22,29,34,3,8
25048,2025-05-03,2,6,17,23,35,6,11
25047,2025-04-30,3,10,11,12,21,2,3
25046,2025-04-28,4,10,15,20,34,4,7
25045,2025-04-26,8,11,21,23,27,3,8
25044,2025-04-23,15,17,21,22,26,2,8
25043,2025-04-21,3,16,20,21,27,9,11
25042,2025-04-19,6,8,11,18,20,5,11
25041,2025-04-16,3,4,21,22,27,5,11
25040,2025-04-14,2,8,16,31,32,4,12
25039,2025-04-12,3,7,14,15,19,6,10
25038,2025-04-09,7,8,20,26,34,8,9
25037,2025-04-07,5,20,23,27,31,4,6
25036,2025-04-05,4,7,13,27,30,2,6
25035,2025-04-02,22,25,28,29,30,4,8
25034,2025-03-31,4,15,22,28,33,6,8
25033,2025-03-29,1,2,8,10,33,10,12
25032,2025-03-26,12,22,25,27,28,1,2
25031,2025-03-24,14,18,20,25,35,1,7
25030,2025-03-22,3,9,14,24,28,6,7
25029,2025-03-19,5,9,26,31,33,3,10
25028,2025-03-17,6,8,20,25,29,3,7
25027,2025-03-15,3,6,11,13,20,1,11
25026,2025-03-12,2,3,7,17,30,1,9
25025,2025-03-10,3,6,8,10,25,3,7
25024,2025-03-08,6,12,13,16,23,5,8
25023,2025-03-05,10,20,22,24,25,9,12
25022,2025-03-03,1,11,13,27,29,4,10
25021,2025-03-01,10,18,25,30,35,3,12
25020,2025-02-26,1,9,12,22,29,5,9
25019,2025-02-24,7,8,11,18,23,3,11
25018,2025-02-22,1,7,9,20,28,1,4
25017,2025-02-19,10,12,26,28,31,3,10
25016,2025-02-17,5,7,12,20,29,8,12
25015,2025-02-15,7,10,24,31,35,1,8
25014,2025-02-12,5,19,22,29,35,2,10
25013,2025-02-10,14,16,18,20,35,2,5
25012,2025-02-08,2,18,19,21,25,2,11
25011,2025-01-25,3,6,7,11,27,2,8
25010,2025-01-22,5,21,28,30,32,7,12
25009,2025-01-20,3,19,21,30,32,6,9
25008,2025-01-18,1,5,7,13,35,5,12
25007,2025-01-15,15,22,23,25,31,1,9
25006,2025-01-13,3,4,13,19,35,3,10
25005,2025-01-11,5,6,8,31,32,9,11
25004,2025-01-08,2,5,9,13,33,1,7
25003,2025-01-06,10,25,30,32,34,4,10
25002,2025-01-04,19,21,22,28,32,6,9
25001,2025-01-01,5,8,16,17,27,4,7
24152,2024-12-30,1,2,7,8,31,2,10
24151,2024-12-28,5,12,17,19,35,10,11
24150,2024-12-25,4,11,23,25,34,5,7
24149,2024-12-23,2,5,16,18,22,7,9
24148,2024-12-21,6,9,20,32,35,8,11
24147,2024-12-18,12,18,21,22,31,1,7
24146,2024-12-16,5,20,21,22,32,3,4
24145,2024-12-14,1,6,9,22,24,1,3
24144,2024-12-11,6,7,8,21,30,1,5
24143,2024-12-09,16,20,22,24,31,4,5
24142,2024-12-07,8,21,24,33,34,3,10
24141,2024-12-04,2,6,7,16,20,2,11
24140,2024-12-02,3,6,15,23,31,1,12
24139,2024-11-30,5,12,20,23,24,5,7
24138,2024-11-27,5,17,20,28,34,4,9
24137,2024-11-25,8,15,16,17,21,2,5
24136,2024-11-23,1,17,20,29,34,7,8
24135,2024-11-20,6,8,22,24,30,3,8
24134,2024-11-18,1,4,7,13,33,5,6
24133,2024-11-16,8,10,14,22,29,4,6
24132,2024-11-13,5,6,10,16,31,6,9
24131,2024-11-11,2,3,4,21,26,2,3
24130,2024-11-09,11,21,25,31,32,4,10
24129,2024-11-06,7,19,30,31,34,5,7
24128,2024-11-04,3,7,10,29,31,1,3
24127,2024-11-02,2,3,10,16,28,7,10
24126,2024-10-30,2,10,17,28,34,7,8
24125,2024-10-28,10,14,19,24,26,1,10
24124,2024-10-26,2,3,7,10,25,1,11
24123,2024-10-23,3,9,16,30,31,8,9
24122,2024-10-21,5,6,9,15,17,3,10
24121,2024-10-19,7,15,18,24,33,4,5
24120,2024-10-16,4,12,17,23,27,2,8
24119,2024-10-14,6,12,28,30,33,2,7
24118,2024-10-12,1,3,9,16,19,5,11
24117,2024-10-09,2,10,22,26,28,2,4
24116,2024-10-07,1,3,6,16,25,1,11
24115,2024-10-05,3,4,12,19,24,8,12
24114,2024-09-30,12,27,30,34,35,5,11
24113,2024-09-28,16,18,25,26,33,4,8
24112,2024-09-25,5,15,24,31,34,3,10
24111,2024-09-23,3,9,19,27,30,7,11
24110,2024-09-21,1,7,8,18,28,4,12
24109,2024-09-18,12,23,26,27,28,3,11
24108,2024-09-16,16,17,21,31,34,3,8
24107,2024-09-14,6,14,16,18,34,3,10
24106,2024-09-11,5,11,19,22,29,2,12
24105,2024-09-09,14,20,21,28,32,9,11
24104,2024-09-07,1,4,9,13,17,6,9
24103,2024-09-04,19,21,29,32,33,6,8
24102,2024-09-02,1,5,9,14,20,5,11
24101,2024-08-31,16,19,22,27,35,6,10
24100,2024-08-28,2,12,19,22,32,5,11
24099,2024-08-26,4,10,24,31,35,5,8
24098,2024-08-24,3,10,15,19,29,9,10
24097,2024-08-21,7,11,12,14,19,2,8
24096,2024-08-19,2,3,23,27,31,1,10
24095,2024-08-17,1,7,19,26,27,3,5
24094,2024-08-14,12,13,24,29,31,2,8
24093,2024-08-12,16,24,26,28,29,8,12
24092,2024-08-10,2,4,25,26,31,1,6
24091,2024-08-07,1,8,11,17,21,1,2
24090,2024-08-05,2,3,6,28,33,7,11
24089,2024-08-03,5,6,29,30,34,7,8
24088,2024-07-31,1,2,23,28,32,3,5
24087,2024-07-29,7,10,20,28,34,5,10
24086,2024-07-27,11,12,14,22,28,7,11
24085,2024-07-24,2,9,16,29,35,1,6
24084,2024-07-22,4,11,16,17,23,5,10
24083,2024-07-20,9,11,12,13,30,7,9
24082,2024-07-17,8,21,23,24,26,4,5
24081,2024-07-15,14,15,25,27,34,1,10
24080,2024-07-13,3,5,24,27,28,9,11
24079,2024-07-10,3,8,17,18,23,6,11
24078,2024-07-08,5,7,10,14,15,4,7
24077,2024-07-06,1,3,25,26,29,6,12
24076,2024-07-03,1,6,22,27,35,7,12
24075,2024-07-01,8,17,26,28,32,1,10
24074,2024-06-29,2,10,11,21,27,9,11
24073,2024-06-26,7,9,12,21,23,5,9
24072,2024-06-24,4,17,21,23,32,1,6
24071,2024-06-22,6,10,15,34,35,2,10
24070,2024-06-19,4,20,21,32,34,2,9
24069,2024-06-17,7,9,16,20,24,3,7
24068,2024-06-15,15,20,31,32,33,5,10
24067,2024-06-12,3,11,14,20,22,6,9
24066,2024-06-10,13,19,20,24,25,6,7
24065,2024-06-08,5,10,18,26,27,3,6
24064,2024-06-05,5,12,21,32,33,8,9
24063,2024-06-03,7,12,16,33,34,1,3
24062,2024-06-01,5,14,15,16,33,3,5
24061,2024-05-29,1,12,19,31,33,5,8
24060,2024-05-27,3,21,25,28,30,1,12
24059,2024-05-25,17,18,20,25,31,3,12
24058,2024-05-22,6,10,13,20,32,1,2
24057,2024-05-20,9,25,30,33,34,3,9
24056,2024-05-18,16,17,18,27,35,6,12
24055,2024-05-15,7,17,22,30,34,5,7
24054,2024-05-13,5,6,9,11,22,1,3
24053,2024-05-11,1,7,19,20,35,3,9
24052,2024-05-08,2,3,13,22,34,4,8
24051,2024-05-06,5,21,22,23,29,1,2
24050,2024-05-04,3,4,14,18,26,7,9
24049,2024-05-01,4,6,9,10,22,1,8
24048,2024-04-29,12,18,21,26,28,8,9
24047,2024-04-27,11,19,21,26,35,10,11
24046,2024-04-24,6,12,17,29,30,7,11
24045,2024-04-22,9,10,14,31,32,3,8
24044,2024-04-20,3,13,15,17,22,6,10
24043,2024-04-17,3,4,8,14,27,5,7
24042,2024-04-15,1,8,15,23,35,5,12
24041,2024-04-13,6,8,14,16,28,3,5
24040,2024-04-10,5,12,16,29,30,3,6
24039,2024-04-08,3,10,11,20,22,6,10
24038,2024-04-06,15,22,24,25,29,1,5
24037,2024-04-03,17,19,20,29,35,7,11
24036,2024-04-01,2,5,11,32,34,6,10
24035,2024-03-30,5,13,17,29,33,5,12
24034,2024-03-27,23,26,27,29,33,5,8
24033,2024-03-25,4,8,10,11,15,7,9
24032,2024-03-23,5,15,26,33,35,1,9
24031,2024-03-20,9,12,15,30,34,5,6
24030,2024-03-18,8,9,11,19,30,6,12
24029,2024-03-16,4,19,24,28,34,4,5
24028,2024-03-13,13,18,20,26,28,4,8
24027,2024-03-11,8,9,16,22,23,7,9
24026,2024-03-09,1,18,21,26,33,2,12
24025,2024-03-06,1,2,8,18,27,4,8
24024,2024-03-04,3,5,12,17,26,1,12
24023,2024-03-02,8,10,12,14,22,5,9
24022,2024-02-28,7,9,11,31,32,4,8
24021,2024-02-26,1,12,16,20,28,7,9
24020,2024-02-24,2,4,8,19,26,2,6
24019,2024-02-21,19,20,26,29,30,3,4
24018,2024-02-19,4,12,19,25,27,1,9
24017,2024-02-07,3,7,25,27,35,1,4
24016,2024-02-05,15,18,25,27,29,6,11
24015,2024-02-03,8,11,14,24,31,5,6
24014,2024-01-31,4,5,16,21,31,9,11
24013,2024-01-29,5,22,25,28,30,3,12
24012,2024-01-27,21,22,25,26,34,1,9
24011,2024-01-24,1,3,27,32,34,1,7
24010,2024-01-22,2,8,10,15,27,2,8
24009,2024-01-20,15,18,19,24,26,5,9
24008,2024-01-17,4,6,11,20,30,3,5
24007,2024-01-15,4,5,28,34,35,4,11
24006,2024-01-13,8,13,16,17,33,2,10
24005,2024-01-10,3,5,7,9,12,5,8
24004,2024-01-08,2,6,18,19,27,8,9
24003,2024-01-06,7,9,12,23,29,1,2
24002,2024-01-03,1,6,8,27,32,3,4
24001,2024-01-01,3,9,17,26,35,2,7
23150,2023-12-30,5,6,17,18,33,11,12
23149,2023-12-27,1,16,17,21,29,1,6
23148,2023-12-25,11,12,20,21,27,2,12
23147,2023-12-23,6,7,19,33,34,3,8
23146,2023-12-20,14,18,19,26,31,2,7
23145,2023-12-18,6,10,12,32,33,6,7
23144,2023-12-16,5,14,18,25,35,1,10
23143,2023-12-13,9,20,23,29,33,2,10
23142,2023-12-11,4,13,15,17,32,10,12
23141,2023-12-09,4,22,25,30,31,4,5
23140,2023-12-06,1,2,9,19,30,1,2
23139,2023-12-04,15,16,25,31,34,5,9
23138,2023-12-02,7,12,20,28,31,9,10
23137,2023-11-29,4,19,21,30,31,6,12
23136,2023-11-27,13,23,27,30,34,6,9
23135,2023-11-25,5,18,22,28,29,9,12
23134,2023-11-22,10,15,22,27,33,1,12
23133,2023-11-20,10,18,25,28,33,5,11
23132,2023-11-18,3,4,12,15,23,2,6
23131,2023-11-15,3,7,21,22,24,6,7
23130,2023-11-13,13,20,27,29,30,1,7
23129,2023-11-11,9,23,25,27,33,6,12
23128,2023-11-08,1,5,7,12,13,2,6
23127,2023-11-06,4,7,8,18,19,2,6
23126,2023-11-04,7,12,17,26,34,2,6
23125,2023-11-01,7,25,26,29,32,2,8
23124,2023-10-30,6,18,23,27,32,6,10
23123,2023-10-28,2,14,16,28,30,2,7
23122,2023-10-25,1,7,9,25,29,10,12
23121,2023-10-23,5,11,15,23,33,1,9
23120,2023-10-21,2,8,16,31,34,1,10
23119,2023-10-18,4,8,10,14,21,4,10
23118,2023-10-16,6,7,13,25,33,5,8
23117,2023-10-14,5,7,15,18,20,3,4
23116,2023-10-11,1,3,9,18,29,4,9
23115,2023-10-09,7,10,23,31,34,2,10
23114,2023-10-07,2,25,27,30,35,1,10
23113,2023-09-30,6,8,30,32,33,3,10
23112,2023-09-27,1,11,17,22,27,2,9
23111,2023-09-25,3,12,15,28,35,2,12
23110,2023-09-23,4,9,11,13,17,7,8
23109,2023-09-20,1,12,21,22,31,2,9
23108,2023-09-18,5,6,17,30,32,2,8
23107,2023-09-16,1,12,15,16,18,3,10
23106,2023-09-13,16,24,26,28,31,1,6
23105,2023-09-11,7,8,19,20,25,2,11
23104,2023-09-09,6,15,16,32,33,8,10
23103,2023-09-06,8,11,19,31,32,8,11
23102,2023-09-04,2,4,7,16,33,7,11
23101,2023-09-02,6,14,16,17,28,7,10
23100,2023-08-30,4,6,13,19,35,9,11
23099,2023-08-28,9,11,13,22,23,6,7
23098,2023-08-26,2,7,15,30,34,5,9
23097,2023-08-23,6,7,18,20,22,3,9
23096,2023-08-21,6,7,14,21,31,3,10
23095,2023-08-19,8,19,28,32,34,3,7
23094,2023-08-16,12,19,22,28,32,8,12
23093,2023-08-14,11,14,17,19,21,1,5
23092,2023-08-12,3,16,21,26,32,3,12
23091,2023-08-09,6,16,18,28,29,7,11
23090,2023-08-07,8,11,12,19,35,11,12
23089,2023-08-05,3,12,20,26,35,2,12
23088,2023-08-02,8,14,16,22,24,9,12
23087,2023-07-31,3,4,16,19,24,4,5
23086,2023-07-29,3,11,15,20,35,7,11
23085,2023-07-26,11,12,26,31,35,5,7
23084,2023-07-24,3,5,8,24,32,7,8
23083,2023-07-22,13,15,21,25,32,9,10
23082,2023-07-19,2,8,9,15,20,3,9
23081,2023-07-17,5,6,23,28,35,7,10
23080,2023-07-15,1,2,9,16,30,1,11
23079,2023-07-12,6,8,26,29,34,5,8
23078,2023-07-10,2,3,6,26,27,7,8
23077,2023-07-08,5,16,18,26,35,3,6
23076,2023-07-05,8,9,11,26,34,2,7
23075,2023-07-03,7,17,20,23,32,5,11
23074,2023-07-01,3,13,22,29,34,2,9
23073,2023-06-28,15,25,28,30,35,8,10
23072,2023-06-26,5,6,9,11,14,2,4
23071,2023-06-24,2,11,12,32,34,10,12
23070,2023-06-21,10,26,29,32,33,3,11
23069,2023-06-19,8,20,21,25,32,5,7
23068,2023-06-17,21,22,24,27,31,7,8
23067,2023-06-14,2,28,30,33,35,2,10
23066,2023-06-12,6,11,13,30,32,1,3
23065,2023-06-10,8,14,16,21,25,3,12
23064,2023-06-07,2,6,9,31,32,3,7
23063,2023-06-05,4,18,29,31,34,6,9
23062,2023-06-03,6,8,22,24,30,1,8
23061,2023-05-31,7,11,21,30,32,5,7
23060,2023-05-29,2,7,19,24,30,9,12
23059,2023-05-27,9,13,23,25,28,4,7
23058,2023-05-24,19,22,29,32,35,5,8
23057,2023-05-22,1,5,6,19,24,5,11
23056,2023-05-20,13,22,24,33,34,1,2
23055,2023-05-17,6,8,12,13,15,1,6
23054,2023-05-15,19,25,30,31,34,7,9
23053,2023-05-13,1,3,11,14,20,2,11
23052,2023-05-10,2,8,11,30,33,5,8
23051,2023-05-08,3,11,19,29,33,3,12
23050,2023-05-06,8,9,14,25,29,4,6
23049,2023-05-03,3,17,22,26,28,7,12
23048,2023-05-01,7,13,16,25,32,9,11
23047,2023-04-29,10,12,13,24,25,11,12
23046,2023-04-26,13,21,25,28,32,2,10
23045,2023-04-24,7,10,13,28,31,4,5
23044,2023-04-22,2,6,7,8,15,7,10
23043,2023-04-19,2,4,17,20,27,1,8
23042,2023-04-17,2,16,21,23,27,1,8
23041,2023-04-15,5,8,13,26,35,5,9
23040,2023-04-12,4,5,18,22,30,5,12
23039,2023-04-10,2,24,26,30,34,6,7
23038,2023-04-08,4,10,18,27,32,10,12
23037,2023-04-05,6,8,16,20,24,7,8
23036,2023-04-03,1,13,22,26,31,2,10
23035,2023-04-01,7,14,23,25,29,2,11
23034,2023-03-29,7,9,10,15,24,4,12
23033,2023-03-27,4,6,10,11,25,7,9
23032,2023-03-25,5,6,18,28,30,2,7
23031,2023-03-22,5,7,8,16,25,3,11
23030,2023-03-20,6,11,12,20,35,5,12
23029,2023-03-18,7,25,27,34,35,9,11
23028,2023-03-15,1,3,29,30,34,4,12
23027,2023-03-13,9,10,12,15,23,3,6
23026,2023-03-11,2,13,24,27,30,1,6
23025,2023-03-08,3,9,27,30,31,11,12
23024,2023-03-06,11,15,24,27,30,1,10
23023,2023-03-04,9,21,23,25,33,3,10
23022,2023-03-01,7,11,15,26,28,8,10
23021,2023-02-27,2,9,18,23,27,3,5
23020,2023-02-25,5,6,23,25,28,6,9
23019,2023-02-22,5,8,9,11,15,6,8
23018,2023-02-20,4,8,17,26,30,3,11
23017,2023-02-18,2,5,9,22,27,10,11
23016,2023-02-15,2,4,12,31,32,7,11
23015,2023-02-13,8,16,24,25,34,8,12
23014,2023-02-11,3,8,18,22,24,1,9
23013,2023-02-08,1,2,9,23,25,2,6
23012,2023-02-06,7,16,17,18,28,2,3
23011,2023-02-04,2,7,8,17,25,1,3
23010,2023-02-01,5,6,13,23,26,1,6
23009,2023-01-30,1,5,11,15,33,1,10
23008,2023-01-18,4,9,17,22,25,1,5
23007,2023-01-16,2,3,24,30,32,1,6
23006,2023-01-14,2,4,12,27,35,6,7
23005,2023-01-11,1,3,10,20,29,6,11
23004,2023-01-09,4,13,15,20,22,4,8
23003,2023-01-07,5,6,14,21,22,2,9
23002,2023-01-04,11,14,21,26,27,2,7
23001,2023-01-02,18,19,24,27,34,11,12
22150,2022-12-31,6,7,26,29,30,3,12
22149,2022-12-28,15,19,22,26,28,2,7
22148,2022-12-26,4,5,6,26,27,7,12
22147,2022-12-24,4,12,22,28,30,9,11
22146,2022-12-21,1,21,23,28,35,7,9
22145,2022-12-19,10,20,29,30,35,6,9
22144,2022-12-17,3,4,8,15,21,4,7
22143,2022-12-14,10,13,14,27,33,7,8
22142,2022-12-12,7,12,14,29,35,1,11
22141,2022-12-10,5,6,14,24,25,2,4
22140,2022-12-07,5,15,25,26,29,4,12
22139,2022-12-05,1,13,14,22,35,2,5
22138,2022-12-03,5,13,16,27,33,7,12
22137,2022-11-30,5,6,8,15,20,7,8
22136,2022-11-28,1,11,15,17,33,3,11
22135,2022-11-26,9,10,27,31,32,1,3
22134,2022-11-23,3,16,23,27,32,3,6
22133,2022-11-21,1,2,14,30,31,6,9
22132,2022-11-19,2,27,30,34,35,9,12
22131,2022-11-16,2,6,8,10,17,5,6
22130,2022-11-14,5,7,15,18,23,5,10
22129,2022-11-12,10,17,23,34,35,1,4
22128,2022-11-09,10,19,21,23,35,4,10
22127,2022-11-07,2,3,8,9,20,4,10
22126,2022-11-05,4,5,8,22,35,1,3
22125,2022-11-02,3,7,14,16,19,1,11
22124,2022-10-31,2,4,11,25,30,6,12
22123,2022-10-29,2,20,28,29,30,7,10
22122,2022-10-26,4,15,17,19,25,6,12
22121,2022-10-24,4,15,16,20,21,4,5
22120,2022-10-22,11,22,26,30,33,3,5
22119,2022-10-19,1,9,16,25,29,4,9
22118,2022-10-17,2,5,15,17,26,2,8
22117,2022-10-15,9,12,15,21,32,2,7
22116,2022-10-12,1,7,20,22,31,7,12
22115,2022-10-10,17,19,20,23,27,3,8
22114,2022-10-08,11,21,24,27,28,5,10
22113,2022-10-05,13,15,22,31,33,5,12
22112,2022-09-28,4,11,18,20,26,6,12
22111,2022-09-26,6,12,16,19,31,6,10
22110,2022-09-24,2,13,16,18,23,3,6
22109,2022-09-21,5,9,24,29,35,5,12
22108,2022-09-19,4,7,13,26,28,7,11
22107,2022-09-17,7,9,19,28,29,8,10
22106,2022-09-14,16,17,21,28,32,4,7
22105,2022-09-12,1,8,9,21,22,1,4
22104,2022-09-10,3,5,13,19,25,2,5
22103,2022-09-07,8,12,16,21,32,1,12
22102,2022-09-05,1,5,14,20,30,2,4
22101,2022-09-03,2,4,6,7,8,3,6
22100,2022-08-31,10,19,20,23,31,3,7
22099,2022-08-29,7,18,25,27,33,4,5
22098,2022-08-27,1,3,6,11,13,3,11
22097,2022-08-24,5,13,22,28,29,5,11
22096,2022-08-22,16,19,24,27,33,1,6
22095,2022-08-20,5,8,22,25,35,2,7
22094,2022-08-17,3,4,7,12,19,2,5
22093,2022-08-15,7,11,14,21,29,7,10
22092,2022-08-13,1,4,12,23,29,5,12
22091,2022-08-10,2,11,20,22,34,4,12
22090,2022-08-08,1,20,24,25,31,9,12
22089,2022-08-06,1,20,21,31,33,3,11
22088,2022-08-03,1,8,10,20,35,6,11
22087,2022-08-01,4,6,10,24,28,6,12
22086,2022-07-30,4,10,21,28,31,8,11
22085,2022-07-27,11,16,31,33,35,6,8
22084,2022-07-25,3,11,19,25,27,4,12
22083,2022-07-23,2,9,17,26,32,4,6
22082,2022-07-20,4,26,27,30,33,2,9
22081,2022-07-18,5,10,19,31,32,9,10
22080,2022-07-16,10,17,30,31,34,3,6
22079,2022-07-13,7,10,19,26,32,8,12
22078,2022-07-11,2,3,18,20,27,1,2
22077,2022-07-09,5,10,11,16,19,1,10
22076,2022-07-06,5,17,30,34,35,2,9
22075,2022-07-04,4,12,13,17,18,7,9
22074,2022-07-02,2,6,21,25,28,2,6
22073,2022-06-29,11,18,21,25,32,2,4
22072,2022-06-27,1,12,13,15,30,3,7
22071,2022-06-25,9,15,19,25,29,8,9
22070,2022-06-22,1,7,17,23,35,7,11
22069,2022-06-20,2,3,23,28,35,2,9
22068,2022-06-18,3,6,10,15,23,3,8
22067,2022-06-15,4,14,15,32,33,10,11
22066,2022-06-13,2,24,25,26,34,3,12
22065,2022-06-11,5,10,13,22,28,1,4
22064,2022-06-08,2,19,22,25,35,5,7
